"","Topic.1","Topic.2","Topic.3"
"1","agricultur","content","agropyron"
"2","annual","crop","cultiv"
"3","biomass","effect","high"
"4","crop","fertil","hybrid"
"5","farm","field","number"
"6","import","growth","perenni"
"7","manag","higher","resist"
"8","potenti","leaf","seed"
"9","product","lower","spring"
"10","studi","perenni ryegrass","varieti"
"11","system","plant","winter"
"12","water","rate","year"
"13",NA,"rotat","yield"
"14",NA,"ryegrass",NA
"15",NA,"soil",NA
"16",NA,"total",NA
"17",NA,"winter",NA
